 ;;Record No.;Descripcion Articulo;UM;Fabricante;Cod. IVA;Impuesto IVA;Clase;Categoria;Control de Lote;Costeable;En Stock;Acuerdo;Status;Elaborado por;Fecha de creacion
;false;Z419111-0124;Sub. Sub Base Granular Clase B Mezclada con Reciclado y Asfalto (Suministro, Extendido, Nivelacion, Humedecimiento y Compactacion con Vibrocompactador);M3;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;MOVIMIENTO DE TIERRAS;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0123;Sub. Empradizacion y amoblamiento;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0122;Sub. Excavacion, Nivelacion y retiro a botadero;M3;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;MOVIMIENTO DE TIERRAS;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0121;Sub. Geotextil NT-1600;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0120;Sub. Empradización Jarillón;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0119;Sub. Construcción de Jarillón. Incluye Extendida y Compactación;M3;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0118;Sub. e Instalación Tierra Negra;VJ;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0117;Sub. Nivelación y Empradización Zonas Verdes;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0116;Sub. Excavación para Red de Gas Natural;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0115;Sub. Terminado de Anden en Adoquin de Arcilla y Tableta Tipo IDU (e=0.06 m);M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
